Record_type,Cluster_number,Size,Match_orientation,NU,NU,NU,NU,ASV_ID,OUT97_ID
S,198,49,*,*,*,*,*,1cd6428fed300dc7694a032dbef19b5d,*
S,199,125,*,*,*,*,*,1cf0369a19c04460d82866ca86343e7a,*
H,34,39,100,+,0,0,39M10I,1d0832034c66850cfa88e05463354202,038d8b9bbee28e7274ff6e75aadeed55
S,200,125,*,*,*,*,*,1d15c8763d7664d0ff5256b16f070694,*
S,201,125,*,*,*,*,*,1d40faaf1fd70b00dc3e4d05cdd3d423,*
S,202,53,*,*,*,*,*,1d42ed935eed418368e499481cd77db4,*
H,84,125,100,+,0,0,28I36M89D,1d54b409639d9b97f6f976196750ad22,0a76573d4b86889fa6b146057255cb4e
S,203,125,*,*,*,*,*,1d5c4d8814c8b9fcef200351f7c48ba3,*
S,204,125,*,*,*,*,*,1d619dda633685f798a343395903ec37,*
S,205,39,*,*,*,*,*,1db34b592edcb30089202070e3f033d2,*
S,206,125,*,*,*,*,*,1dc65c55bf53cc8a911c80c0f0e16b3c,*
S,207,125,*,*,*,*,*,1dfbc1d19b32e01e231de725deb2f6f6,*
H,158,124,99.2,+,0,0,124MI,1e057f4acf0f93fcfa19d14d2ba12cd1,14e57fd00d358b6af2c894615e2ac156
H,14,125,98.4,+,0,0,125M,1e2a22f934d05ebc174764993f25d34b,01574e5286935f410c4f41ed8e92987b
S,208,125,*,*,*,*,*,1e3fde70ba566a9eb53c33917b272442,*
H,65,125,99.2,+,0,0,125M,1e44732f169a32c2337408f1e77e7b72,07fffa802b3e10ffc3c0af409582cf68
S,209,125,*,*,*,*,*,1e4d0cb8efe6a63485da43ab2f0b795f,*
S,210,125,*,*,*,*,*,1e9955fc9d390ff6fad51551f3e6d2a7,*
S,211,53,*,*,*,*,*,1eb38dc2e4aa3db02c4dceab32b156b8,*
S,212,94,*,*,*,*,*,1ed56941ad6ea5a7bb533a21126c633e,*
H,16,125,98.4,+,0,0,125M,1f1247d03be7fefadd3e09be968b13cb,01955224fb6a90a09007cb1c79bd6ccb
S,213,125,*,*,*,*,*,1f21a97d687d1e088c522916572cec16,*
S,214,125,*,*,*,*,*,1f2e60f178b9c681c48f5b6a04f3c257,*
S,215,53,*,*,*,*,*,1f4434191c5fd80a1b6a9c2bd9b2bd0d,*
S,216,40,*,*,*,*,*,1f712844c5f4c0be8557154f3943b464,*
S,217,53,*,*,*,*,*,1f76bf0fbf6ae6d1383d9f799bce058c,*
S,218,32,*,*,*,*,*,1fc37ddc0eccd1bb9fb6869cc8c74333,*
H,174,48,100,+,0,0,48MI,1fcdb7e5947bd4ff72e0a18c217d0f2b,18231222cec0a0ab776b5c5d12dc9c52
S,219,125,*,*,*,*,*,1ffe49f4932b8c78bda416ad1ea0b85e,*
S,220,125,*,*,*,*,*,20083eddc3725171b64adcafbdf11bf9,*
S,221,125,*,*,*,*,*,2011ff1731b67190fa843a542ac43971,*
S,222,125,*,*,*,*,*,2064df95ced911149d776671a24e41c9,*
S,223,125,*,*,*,*,*,2065da2d299b49bf847731a190ab6b8f,*
S,224,125,*,*,*,*,*,2075d19ced6f9366717128b9b9648a7a,*
S,225,52,*,*,*,*,*,20a27640c5d2a1e733e46bd3d46de29a,*
S,226,125,*,*,*,*,*,20b2ae612fd0e7a871935607a16f53bb,*
S,227,38,*,*,*,*,*,20b390a79727d015de4289bd2a258a4a,*
S,228,125,*,*,*,*,*,20fb4acb97e930be6047f025929d176e,*
S,229,125,*,*,*,*,*,2105a0dfaf7a714e98d12b339aa668d3,*
H,171,108,99.1,+,0,0,107MD,212d17afe10a3271de517b2f2b55cda4,170b5c88309663427ff0352faed9e2c8
H,36,125,98.4,+,0,0,125M,2151802d1dbf805992418c7be8c3844c,03d445ec208058b3f82567f64a231930
S,230,125,*,*,*,*,*,215bb2c1d057d145d6474ac78e9648ed,*
S,231,125,*,*,*,*,*,21605eea122a738287f050b29a121171,*
S,232,124,*,*,*,*,*,2201052e27af335104b4f5fb3291cf59,*
S,233,125,*,*,*,*,*,22049cf86f575c358cc6d1431218f605,*
S,234,125,*,*,*,*,*,2209724ae56863aae078bdb3f4c14161,*
S,235,60,*,*,*,*,*,2218780038a849888b9437a50c5ef54e,*
H,16,125,97.6,+,0,0,125M,2227ce439ce1f8065b25e67d086928cb,01955224fb6a90a09007cb1c79bd6ccb
H,66,53,100,+,0,0,51M2D,222947a2a72dfbb86f85fb065f5168b3,0850157c918b2d80598a39fbfbd2b0d0
H,134,55,100,+,0,0,55M6I,2303343cd601989f661ea0293926720e,11b243d61793800b6f802e876a8f2047
